"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Comments","1","0","Comment deletion","0"
"0","","0","Comments","1","0","Comment listing","0"
"0","","0","Authentication","2","0","Login flow","0"
"0","","0","Tags","1","0","Tag listing","0"
"0","","0","Articles","1","0","Article deletion","0"
"0","","0","Authentication","1","0","Login form","0"
"0","","0","Articles","1","0","Article retrieval","0"
"0","","0","Authentication","3","0","Login","0"
"0","","0","Articles","2","0","Article listing","0"
"0","","0","Comments","1","0","Comment creation","0"
"0","","0","Articles","1","0","Authorization","0"
"0","","0","Articles","1","0","Article creation","0"
"0","","0","Authentication","1","0","Navigation","0"
"0","","0","Articles","1","0","Article update","0"
