"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify generated user credentials can be entered into the sign-in form.","131","Enter generated credentials into sign-in form","tests.ui","2026-05-22","passed","2026-05-22","","test_auth","",""
"Verify the tags service returns a validated TagsResponse with a list payload.","3","GET /tags returns a validated tag list","tests.api","2026-05-22","passed","2026-05-22","","test_tags","",""
"Verify the login endpoint rejects malformed or incorrect credentials.","2","POST /users/login rejects invalid credentials","tests.api","2026-05-22","passed","2026-05-22","","test_auth_negative","",""
"Verify a created article can be retrieved by slug.","5","GET /articles/{slug} returns a single article","tests.api","2026-05-22","passed","2026-05-22","","test_articles","",""
"Verify the article owner can delete an existing article.","8","DELETE /articles/{slug} removes an existing article","tests.api","2026-05-22","passed","2026-05-22","","test_articles","",""
"Verify invalid credentials keep the user on the login page with an error message.","164","Show error message for invalid credentials","tests.ui","2026-05-22","passed","2026-05-22","","test_login_flow","",""
"Verify an authorized user can publish a new article.","15","POST /articles creates an article for an authenticated user","tests.api","2026-05-22","passed","2026-05-22","","test_articles","",""
"Verify a user can reach the sign-in page and see the login form.","136","Navigate to sign-in page from home","tests.ui","2026-05-22","passed","2026-05-22","","test_auth","",""
"Verify comments attached to an article can be retrieved as a collection.","11","GET /articles/{slug}/comments returns article comments","tests.api","2026-05-22","passed","2026-05-22","","test_comments","",""
"Verify the login endpoint rejects malformed or incorrect credentials.","2","POST /users/login rejects invalid credentials","tests.api","2026-05-22","passed","2026-05-22","","test_auth_negative","",""
"Verify pagination returns distinct slices and surfaces created articles.","72","GET /articles supports limit and offset pagination","tests.api","2026-05-22","passed","2026-05-22","","test_articles","",""
"Verify the login endpoint rejects malformed or incorrect credentials.","2","POST /users/login rejects invalid credentials","tests.api","2026-05-22","passed","2026-05-22","","test_auth_negative","",""
"Verify the articles endpoint returns HTTP 200 with an articles collection.","9","GET /articles returns a paginated list of articles","tests.api","2026-05-22","passed","2026-05-22","","test_articles","",""
"Verify the article owner can update an existing article.","21","PUT /articles/{slug} updates an existing article","tests.api","2026-05-22","passed","2026-05-22","","test_articles","",""
"Verify article creation is blocked when no authentication token is supplied.","2","POST /articles without token is rejected","tests.api","2026-05-22","passed","2026-05-22","","test_auth_negative","",""
"Verify a user with valid credentials is redirected to the home page after sign-in.","184","Sign in with valid credentials","tests.ui","2026-05-22","passed","2026-05-22","","test_login_flow","",""
"Verify an authenticated user can comment on an existing article.","10","POST /articles/{slug}/comments creates a comment","tests.api","2026-05-22","passed","2026-05-22","","test_comments","",""
"Verify the comment author can delete their comment from an article.","15","DELETE /articles/{slug}/comments/{id} removes a comment","tests.api","2026-05-22","passed","2026-05-22","","test_comments","",""
